layer_id,server,type,number,name,offsetX,offsetY,symbol,insert
68,31,point,0,C_SWD_EX PIT,115.8481299397865,-31.96576487741475,,
67,30,polyline,0,C_SWD_EX STORMWATER DRAINAGE,115.84891485264751,-31.96576487703375,maintenance_hole,C_SWD PIT
66,29,polyline,0,1m_CONTOURS,151.2038397909985,-33.8892883241928,,
65,28,point,0,C_SWD_EX PIT,151.204016210157,-33.888338355636,maintenance_hole,C_SWD PIT
64,27,polyline,0,C_SWD_EX STORMWATER DRAINAGE,151.204013546416,-33.88845766691915,,
63,12,polygon,15,C_BDY,149.80753999669452,-32.8254765159128,,
62,17,polyline,45,C_SEW_EX SERVICE,151.387681714425,-27.5006036324496,,
61,17,polyline,44,C_SEW_EX RISING MAIN,151.387681714425,-27.5006036324496,,
60,17,polyline,43,C_SEW_EX GRAVITY SEWER,151.387681714425,-27.5006036324496,,
59,17,point,42,C_SEW_EX MAINTENANCE HOLE,151.387681714425,-27.5006036324496,maintenance_hole,C_SEWER MH
58,17,polyline,36,C_SWD_EX STORMWATER DRAINAGE,151.387681714425,-27.5006036324496,,
57,17,point,33,C_SWD_EX PIT,151.387681714425,-27.5006036324496,maintenance_hole,C_SWD PIT
56,17,polyline,30,C_WAT_EX SERVICE,151.387681714425,-27.5006036324496,,
55,17,polyline,29,C_WAT_EX DRINKING WATER MAIN,151.387681714425,-27.5006036324496,,
54,17,point,28,C_WAT_EX HYDRANT,151.387681714425,-27.5006036324496,hydrant,C - FH
53,17,point,27,C_WAT_EX VALVE,151.387681714425,-27.5006036324496,valve,C - SYSTEM VALVE
52,17,point,26,C_WAT_EX VALVE,151.387681714425,-27.5006036324496,valve,C - SYSTEM VALVE
51,17,polyline,23,1m_CONTOURS,151.387681714425,-27.5006036324496,,
50,26,polyline,6,1m_CONTOURS,152.8509395870155,-26.707909153238802,,
49,10,polyline,19,C_WAT_EX SERVICE,0.0,0.0,,
48,10,polyline,17,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,
47,10,polyline,16,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,
46,10,point,5,C_WAT_EX HYDRANT,0.0,0.0,hydrant,C - FH
